word	length	is_adjective	is_noun	is_other	wn_adj	wn_noun	ref_adj	ref_noun	source_set
ablaze	6	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives
able	4	1	0	0	1	0	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives
abler	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses
ablest	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abloom	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
ablush	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives
abnaki	6	1	1	0	1	1	0	0	english_alpha
abode	5	0	1	0	0	1	0	0	english_alpha,wordle_answers
abodes	6	0	1	0	0	1	0	0	english_alpha
abohm	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
abohms	6	0	1	0	0	1	0	0	english_alpha
aboral	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abort	5	0	1	0	0	1	0	0	english_alpha,wordle_answers
aborts	6	0	1	0	0	1	0	0	english_alpha
abortus	7	0	1	0	0	1	0	0	english_alpha
abos	4	0	1	0	0	1	0	0	english_alpha
aboulia	7	0	1	0	0	1	0	0	english_alpha
aboulic	7	1	0	0	1	0	0	0	english_alpha
about	5	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers
above	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers
aboves	6	0	1	0	0	1	0	0	english_alpha
abraded	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
abrader	7	0	1	0	0	1	0	0	english_alpha
abraham	7	0	1	0	0	1	0	0	english_alpha,google_10000
abramis	7	0	1	0	0	1	0	0	english_alpha
abreast	7	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives
abroach	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abroad	6	1	0	0	1	0	1	0	eff,english_alpha,google_10000,simple_adjectives
abronia	7	0	1	0	0	1	0	0	english_alpha
abrupt	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abscess	7	0	1	0	0	1	0	0	english_alpha
abseil	6	0	1	0	0	1	0	0	english_alpha
abseils	7	0	1	0	0	1	0	0	english_alpha
absence	7	0	1	0	0	1	0	0	eff,english_alpha,google_10000
absent	6	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives
absinth	7	0	1	0	0	1	0	0	english_alpha
absurd	6	1	1	0	1	1	1	0	bip39,eff,english_alpha,simple_adjectives
absurds	7	0	1	0	0	1	0	0	english_alpha
abulia	6	0	1	0	0	1	0	0	english_alpha
abulias	7	0	1	0	0	1	0	0	english_alpha
abulic	6	1	0	0	1	0	0	0	english_alpha
abuse	5	0	1	0	0	1	0	0	bip39,english_alpha,google_10000,wordle_answers
abused	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abuser	6	0	1	0	0	1	0	0	english_alpha
abusers	7	0	1	0	0	1	0	0	english_alpha
abuses	6	0	1	0	0	1	0	0	english_alpha
abusive	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abutter	7	0	1	0	0	1	0	0	english_alpha
abuzz	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses
abvolt	6	0	1	0	0	1	0	0	english_alpha
abvolts	7	0	1	0	0	1	0	0	english_alpha
abwatt	6	0	1	0	0	1	0	0	english_alpha
abwatts	7	0	1	0	0	1	0	0	english_alpha
abysm	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
abysmal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abysms	6	0	1	0	0	1	0	0	english_alpha
abyss	5	0	1	0	0	1	0	0	english_alpha,wordle_answers
abyssal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
abysses	7	0	1	0	0	1	0	0	english_alpha
acacia	6	0	1	0	0	1	0	0	english_alpha
acacias	7	0	1	0	0	1	0	0	english_alpha
academe	7	0	1	0	0	1	0	0	english_alpha
academy	7	0	1	0	0	1	0	0	english_alpha,google_10000
acadia	6	0	1	0	0	1	0	0	english_alpha
acadian	7	1	1	0	0	1	1	0	english_alpha,simple_adjectives
acantha	7	0	1	0	0	1	0	0	english_alpha
acanthi	7	0	1	0	0	1	0	0	english_alpha
acapnia	7	0	1	0	0	1	0	0	english_alpha
acardia	7	0	1	0	0	1	0	0	english_alpha
acari	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
acarid	6	1	1	0	0	1	1	0	english_alpha,simple_adjectives
acarids	7	0	1	0	0	1	0	0	english_alpha
acarina	7	0	1	0	0	1	0	0	english_alpha
acarine	7	1	1	0	0	1	1	0	english_alpha,simple_adjectives
acaroid	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
acarus	6	0	1	0	0	1	0	0	english_alpha
acaudal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
accent	6	0	1	0	0	1	0	0	eff,english_alpha,google_10000
accents	7	0	1	0	0	1	0	0	english_alpha
access	6	0	1	0	0	1	0	0	bip39,english_alpha,google_10000
acclaim	7	0	1	0	0	1	0	0	eff,english_alpha
accord	6	0	1	0	0	1	0	0	english_alpha
accords	7	0	1	0	0	1	0	0	english_alpha
account	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000
accra	5	0	1	0	0	1	0	0	english_alpha
accrete	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
accrual	7	0	1	0	0	1	0	0	english_alpha
accrued	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
accurst	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
accusal	7	0	1	0	0	1	0	0	english_alpha
accused	7	0	1	0	0	1	0	0	english_alpha,google_10000
accuser	7	0	1	0	0	1	0	0	english_alpha
acedia	6	0	1	0	0	1	0	0	english_alpha
acedias	7	0	1	0	0	1	0	0	english_alpha
acer	4	0	1	0	0	1	0	0	english_alpha,google_10000
acerate	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
acerb	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses
acerber	7	1	0	0	1	0	0	0	english_alpha
acerbic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
acerola	7	0	1	0	0	1	0	0	english_alpha
acerose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
acerous	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
acers	5	0	1	0	0	1	0	0	wordle_guesses
aces	4	0	1	0	0	1	0	0	english_alpha
acetal	6	0	1	0	0	1	0	0	english_alpha
acetals	7	0	1	0	0	1	0	0	english_alpha
acetate	7	0	1	0	0	1	0	0	english_alpha
acetic	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
acetin	6	0	1	0	0	1	0	0	english_alpha
acetins	7	0	1	0	0	1	0	0	english_alpha
acetone	7	0	1	0	0	1	0	0	eff,english_alpha
acetose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
acetous	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
acetum	6	0	1	0	0	1	0	0	english_alpha
acetyl	6	0	1	0	0	1	0	0	english_alpha
acetyls	7	0	1	0	0	1	0	0	english_alpha
achaean	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives
ache	4	0	1	0	0	1	0	0	english_alpha
achene	6	0	1	0	0	1	0	0	english_alpha
achenes	7	0	1	0	0	1	0	0	english_alpha
acheron	7	0	1	0	0	1	0	0	english_alpha
aches	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
aching	6	1	1	0	1	1	1	0	eff,english_alpha,simple_adjectives
achira	6	0	1	0	0	1	0	0	english_alpha
acholia	7	0	1	0	0	1	0	0	english_alpha
achras	6	0	1	0	0	1	0	0	english_alpha
achy	4	1	0	0	1	0	1	0	english_alpha,simple_adjectives
achylia	7	0	1	0	0	1	0	0	english_alpha
acicula	7	0	1	0	0	1	0	0	english_alpha
acid	4	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives
acider	6	1	0	0	1	0	0	0	english_alpha
acidic	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
acidity	7	0	1	0	0	1	0	0	english_alpha
acids	5	0	1	0	0	1	0	0	english_alpha,google_10000,wordle_guesses
aciform	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
acinar	6	1	0	0	1	0	0	0	english_alpha
acini	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
acinic	6	1	0	0	1	0	0	0	english_alpha
acinose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
acinous	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
acinus	6	0	1	0	0	1	0	0	english_alpha
ackee	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
ackees	6	0	1	0	0	1	0	0	english_alpha
acme	4	0	1	0	0	1	0	0	english_alpha
acmes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
acne	4	0	1	0	0	1	0	0	english_alpha,google_10000
acned	5	1	0	0	1	0	0	0	english_alpha,wordle_guesses
acnes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
acock	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses
acold	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses
acolyte	7	0	1	0	0	1	0	0	english_alpha
aconite	7	0	1	0	0	1	0	0	english_alpha
acorea	6	0	1	0	0	1	0	0	english_alpha
acorn	5	0	1	0	0	1	0	0	eff,english_alpha,wordle_answers
acorned	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
acorns	6	0	1	0	0	1	0	0	english_alpha
acorus	6	0	1	0	0	1	0	0	english_alpha
acousma	7	0	1	0	0	1	0	0	english_alpha
acre	4	0	1	0	0	1	0	0	eff,english_alpha,google_10000
acreage	7	0	1	0	0	1	0	0	english_alpha
acred	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses
acres	5	0	1	0	0	1	0	0	english_alpha,google_10000,wordle_guesses
acrid	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_answers
acrider	7	1	0	0	1	0	0	0	english_alpha
acridid	7	0	1	0	0	1	0	0	english_alpha
acrobat	7	0	1	0	0	1	0	0	eff,english_alpha,google_10000
acrogen	7	0	1	0	0	1	0	0	english_alpha
acromia	7	0	1	0	0	1	0	0	english_alpha
acronym	7	0	1	0	0	1	0	0	eff,english_alpha
across	6	1	0	0	0	0	1	0	bip39,english_alpha,google_10000,simple_adjectives
acrylic	7	1	1	0	0	1	1	0	english_alpha,google_10000,simple_adjectives
actable	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
actaea	6	0	1	0	0	1	0	0	english_alpha
actin	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
actinal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
acting	6	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives
actings	7	0	1	0	0	1	0	0	english_alpha
actinia	7	0	1	0	0	1	0	0	english_alpha
actinic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
actinon	7	0	1	0	0	1	0	0	english_alpha
actins	6	0	1	0	0	1	0	0	english_alpha
action	6	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000
actions	7	0	1	0	0	1	0	0	english_alpha,google_10000
actium	6	0	1	0	0	1	0	0	english_alpha
active	6	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives
actives	7	0	1	0	0	1	0	0	english_alpha
actor	5	0	1	0	0	1	0	0	bip39,english_alpha,google_10000,wordle_answers
actors	6	0	1	0	0	1	0	0	english_alpha,google_10000
actress	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000
acts	4	0	1	0	0	1	0	0	eff,english_alpha,google_10000
actual	6	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives
actuary	7	0	1	0	0	1	0	0	english_alpha
acuate	6	1	0	0	1	0	0	0	english_alpha
acuity	6	0	1	0	0	1	0	0	english_alpha
aculea	6	0	1	0	0	1	0	0	english_alpha
aculeus	7	0	1	0	0	1	0	0	english_alpha
acumen	6	0	1	0	0	1	0	0	english_alpha
acumens	7	0	1	0	0	1	0	0	english_alpha
acute	5	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives,wordle_answers
acuter	6	1	0	0	1	0	0	0	english_alpha
acutes	6	0	1	0	0	1	0	0	english_alpha
acutest	7	1	0	0	1	0	0	0	english_alpha
acyclic	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
acyl	4	0	1	0	0	1	0	0	english_alpha
acyls	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
adad	4	0	1	0	0	1	0	0	english_alpha
adage	5	0	1	0	0	1	0	0	english_alpha,wordle_answers
adages	6	0	1	0	0	1	0	0	english_alpha
adagio	6	1	1	0	1	1	1	0	english_alpha,simple_adjectives
adagios	7	0	1	0	0	1	0	0	english_alpha
adam	4	1	1	0	0	1	1	0	english_alpha,google_10000,simple_adjectives
adamant	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives
adamic	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives
adams	5	0	1	0	0	1	0	0	english_alpha,google_10000
adapa	5	0	1	0	0	1	0	0	english_alpha
adapid	6	0	1	0	0	1	0	0	english_alpha
adapted	7	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives
adapter	7	0	1	0	0	1	0	0	english_alpha,google_10000
adaptor	7	0	1	0	0	1	0	0	english_alpha,google_10000
adar	4	0	1	0	0	1	0	0	english_alpha
adaxial	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
addable	7	1	0	0	1	0	0	0	english_alpha
addax	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
addaxes	7	0	1	0	0	1	0	0	english_alpha
added	5	1	0	0	0	0	1	0	english_alpha,google_10000,simple_adjectives,wordle_guesses
addend	6	0	1	0	0	1	0	0	english_alpha
addenda	7	0	1	0	0	1	0	0	english_alpha
addends	7	0	1	0	0	1	0	0	english_alpha
adder	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
adders	6	0	1	0	0	1	0	0	english_alpha
addible	7	1	0	0	1	0	0	0	english_alpha
addict	6	0	1	0	0	1	0	0	bip39,english_alpha
addicts	7	0	1	0	0	1	0	0	english_alpha
addle	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses
addled	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
address	7	0	1	0	0	1	0	0	bip39,english_alpha,google_10000
adds	4	0	1	0	0	1	0	0	english_alpha,google_10000
adducer	7	0	1	0	0	1	0	0	english_alpha
adduct	6	0	1	0	0	1	0	0	english_alpha
adducts	7	0	1	0	0	1	0	0	english_alpha
adelges	7	0	1	0	0	1	0	0	english_alpha
aden	4	0	1	0	0	1	0	0	english_alpha
adenine	7	0	1	0	0	1	0	0	english_alpha
adenoid	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives
adenoma	7	0	1	0	0	1	0	0	english_alpha
adept	5	1	1	0	1	1	1	0	english_alpha,simple_adjectives,wordle_answers
adepter	7	1	0	0	1	0	0	0	english_alpha
adepts	6	0	1	0	0	1	0	0	english_alpha
adermin	7	0	1	0	0	1	0	0	english_alpha
adience	7	0	1	0	0	1	0	0	english_alpha
adient	6	1	0	0	1	0	0	0	english_alpha
adieu	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
adieus	6	0	1	0	0	1	0	0	english_alpha
adieux	6	0	1	0	0	1	0	0	english_alpha
adios	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
adipose	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
adit	4	0	1	0	0	1	0	0	english_alpha
adits	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
adjunct	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives
adlumia	7	0	1	0	0	1	0	0	english_alpha
adman	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
admass	6	0	1	0	0	1	0	0	english_alpha
admen	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
admiral	7	0	1	0	0	1	0	0	english_alpha
admired	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
admirer	7	0	1	0	0	1	0	0	english_alpha
adnate	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
adnexa	6	0	1	0	0	1	0	0	english_alpha
adnexal	7	1	0	0	1	0	0	0	english_alpha
adnoun	6	0	1	0	0	1	0	0	english_alpha
adnouns	7	0	1	0	0	1	0	0	english_alpha
adobe	5	0	1	0	0	1	0	0	english_alpha,google_10000,wordle_answers
adobes	6	0	1	0	0	1	0	0	english_alpha
adobo	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
adobos	6	0	1	0	0	1	0	0	english_alpha
adonic	6	1	1	0	1	1	1	0	english_alpha,simple_adjectives
adonis	6	0	1	0	0	1	0	0	english_alpha
adopted	7	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives
adoptee	7	0	1	0	0	1	0	0	english_alpha
adopter	7	0	1	0	0	1	0	0	english_alpha
adored	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
adorer	6	0	1	0	0	1	0	0	english_alpha
adorers	7	0	1	0	0	1	0	0	english_alpha
adoring	7	1	0	0	1	0	1	0	english_alpha,moby_adj,simple_adjectives
adorned	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
ados	4	0	1	0	0	1	0	0	english_alpha
adrenal	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives
adrian	6	0	1	0	0	1	0	0	english_alpha,google_10000
adrift	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
adroit	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
adult	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers
adulter	7	1	0	0	1	0	0	0	english_alpha
adults	6	0	1	0	0	1	0	0	english_alpha,google_10000
adunc	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives,wordle_guesses
adust	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses
advance	7	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives
advent	6	0	1	0	0	1	0	0	english_alpha
advents	7	0	1	0	0	1	0	0	english_alpha
adverb	6	0	1	0	0	1	0	0	english_alpha
adverbs	7	0	1	0	0	1	0	0	english_alpha
adverse	7	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives
advert	6	0	1	0	0	1	0	0	english_alpha,google_10000
adverts	7	0	1	0	0	1	0	0	english_alpha
advice	6	0	1	0	0	1	0	0	bip39,english_alpha,google_10000
advices	7	0	1	0	0	1	0	0	english_alpha
advised	7	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives
advisee	7	0	1	0	0	1	0	0	english_alpha
adviser	7	0	1	0	0	1	0	0	english_alpha
advisor	7	0	1	0	0	1	0	0	english_alpha,google_10000
adze	4	0	1	0	0	1	0	0	english_alpha
adzes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
aecia	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
aecial	6	1	0	0	1	0	0	0	english_alpha
aecium	6	0	1	0	0	1	0	0	english_alpha
aedes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
aegean	6	1	1	0	1	1	1	0	english_alpha,simple_adjectives
aegina	6	0	1	0	0	1	0	0	english_alpha
aegir	5	0	1	0	0	1	0	0	english_alpha
aegis	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
aegises	7	0	1	0	0	1	0	0	english_alpha
aeneas	6	0	1	0	0	1	0	0	english_alpha
aeneid	6	0	1	0	0	1	0	0	english_alpha
aeneous	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
aeolia	6	0	1	0	0	1	0	0	english_alpha
aeolian	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives
aeolic	6	1	1	0	0	1	1	0	english_alpha,simple_adjectives
aeolis	6	0	1	0	0	1	0	0	english_alpha
aeolus	6	0	1	0	0	1	0	0	english_alpha
aeon	4	0	1	0	0	1	0	0	english_alpha
aeonian	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
aeons	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
aerated	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
aerator	7	0	1	0	0	1	0	0	english_alpha
aerial	6	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives
aerials	7	0	1	0	0	1	0	0	english_alpha
aerides	7	0	1	0	0	1	0	0	english_alpha
aerie	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
aeries	6	0	1	0	0	1	0	0	english_alpha
aerobe	6	0	1	0	0	1	0	0	english_alpha
aerobes	7	0	1	0	0	1	0	0	english_alpha
aerobic	7	1	0	0	1	0	1	0	bip39,english_alpha,simple_adjectives
aerosol	7	0	1	0	0	1	0	0	eff,english_alpha
aery	4	1	1	0	1	1	1	0	english_alpha,simple_adjectives
aesir	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
aesop	5	0	1	0	0	1	0	0	english_alpha
aether	6	0	1	0	0	1	0	0	english_alpha
aethers	7	0	1	0	0	1	0	0	english_alpha
aethusa	7	0	1	0	0	1	0	0	english_alpha
afeard	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
afeared	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
affable	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
affair	6	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000
affaire	7	0	1	0	0	1	0	0	english_alpha
affairs	7	0	1	0	0	1	0	0	english_alpha,google_10000
affect	6	0	1	0	0	1	0	0	english_alpha,google_10000
affects	7	0	1	0	0	1	0	0	english_alpha,google_10000
affiant	7	0	1	0	0	1	0	0	english_alpha
affinal	7	1	0	0	1	0	0	0	english_alpha
affine	6	1	1	0	1	1	1	0	english_alpha,simple_adjectives
affined	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
affines	7	0	1	0	0	1	0	0	english_alpha
affix	5	0	1	0	0	1	0	0	eff,english_alpha,wordle_answers
affixal	7	1	0	0	1	0	0	0	english_alpha
affixed	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
affixes	7	0	1	0	0	1	0	0	english_alpha
affray	6	0	1	0	0	1	0	0	english_alpha
affrays	7	0	1	0	0	1	0	0	english_alpha
affront	7	0	1	0	0	1	0	0	eff,english_alpha
afghan	6	1	1	0	1	1	1	0	english_alpha,simple_adjectives
afghani	7	1	1	0	1	1	1	0	english_alpha,simple_adjectives
afghans	7	0	1	0	0	1	0	0	english_alpha
afire	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_answers
aflame	6	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives
aflare	6	1	0	0	1	0	0	0	english_alpha
afloat	6	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives
afoot	5	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives,wordle_answers
afoul	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_answers
afraid	6	1	0	0	1	0	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives
afric	5	1	0	0	0	0	1	0	english_alpha,simple_adjectives
africa	6	0	1	0	0	1	0	0	english_alpha,google_10000
african	7	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives
afro	4	0	1	0	0	1	0	0	english_alpha
afros	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
after	5	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives,wordle_answers
afters	6	0	1	0	0	1	0	0	english_alpha
aftmost	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives
agal	4	0	1	0	0	1	0	0	english_alpha
agama	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
agamas	6	0	1	0	0	1	0	0	english_alpha
agamete	7	0	1	0	0	1	0	0	english_alpha
agamic	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives
agamid	6	1	1	0	0	1	1	0	english_alpha,simple_adjectives
agamous	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives
agape	5	1	1	0	1	1	1	0	english_alpha,simple_adjectives,wordle_answers
agar	4	0	1	0	0	1	0	0	english_alpha
agaric	6	0	1	0	0	1	0	0	english_alpha
agarics	7	0	1	0	0	1	0	0	english_alpha
agars	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses
agas	4	0	1	0	0	1	0	0	english_alpha
