word	length	is_adjective	is_noun	is_other	wn_adj	wn_noun	ref_adj	ref_noun	source_set	is_corroborated	biology_obscure	drop_reason	metaphone_code	quality_tier	playfulness_score	concreteness_score	pool	g_rank	primary_score	outcome	dedup_collision_with
stoic	5	1	1	0	1	1	1	0	eff,english_alpha,moby_adj,simple_adjectives,wordle_answers	1	0		STK	0	2	0	adj	999999	2	selected_adj	
thirsty	7	1	0	0	1	0	1	0	eff,english_alpha,moby_adj,simple_adjectives	1	0		0RST	0	2	0	adj	999999	2	selected_adj	
upbeat	6	1	1	0	1	1	1	0	eff,english_alpha,moby_adj,simple_adjectives	1	0		UPBT	0	2	-2	adj	999999	2	selected_adj	
zealous	7	1	0	0	1	0	1	0	eff,english_alpha,moby_adj,simple_adjectives	1	0		SLS	0	2	0	adj	999999	2	selected_adj	
best	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		BST	1	3	-1	adj	150	3	selected_adj	
good	4	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		KT	1	3	1	adj	154	3	selected_adj	
high	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		HKH	1	3	1	adj	163	3	selected_adj	
full	4	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		FL	1	3	-1	adj	195	3	selected_adj	
real	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		RL	1	3	-1	adj	211	3	selected_adj	
even	4	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0		EFN	1	3	-1	adj	269	3	selected_adj	
open	4	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		OPN	1	3	1	adj	282	3	selected_adj	
size	4	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		SS	1	3	1	adj	336	3	selected_adj	
digital	7	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		TJTL	1	3	0	adj	364	3	selected_adj	
large	5	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		LRJ	1	3	-1	adj	461	3	selected_adj	
second	6	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		SKNT	1	3	1	adj	485	3	selected_adj	
hard	4	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		HRT	1	3	0	adj	595	3	selected_adj	
light	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		LT	1	3	1	adj	612	3	selected_adj	
short	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		XRT	1	3	1	adj	745	3	selected_adj	
natural	7	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0		NTRL	1	3	-1	adj	758	3	selected_adj	
direct	6	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		TRKT	1	3	0	adj	782	3	selected_adj	
present	7	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		PRSNT	1	3	-1	adj	804	3	selected_adj	
global	6	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0		KLBL	1	3	0	adj	856	3	selected_adj	
clear	5	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		KLR	1	3	1	adj	906	3	selected_adj	
taken	5	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		TKN	1	3	0	adj	921	3	selected_adj	
lost	4	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		LST	1	3	1	adj	1078	3	selected_adj	
silver	6	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		SLFR	1	3	1	adj	1086	3	selected_adj	
fine	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		FN	1	3	1	adj	1113	3	selected_adj	
huge	4	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		HJ	1	3	0	adj	1132	3	selected_adj	
foreign	7	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0		FR	1	3	0	adj	1187	3	selected_adj	
brown	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		BRN	1	3	1	adj	1267	3	selected_adj	
regular	7	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		RKLR	1	3	-1	adj	1298	3	selected_adj	
secure	6	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0		SKR	1	3	0	adj	1299	3	selected_adj	
grand	5	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		KRNT	1	3	1	adj	1449	3	selected_adj	
deep	4	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		TP	1	3	1	adj	1542	3	selected_adj	
fair	4	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		FR	1	3	-1	adj	1666	3	selected_adj	
changed	7	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0		XNJT	1	3	0	adj	1801	3	selected_adj	
clean	5	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		KLN	1	3	-1	adj	1808	3	selected_adj	
stone	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		STN	1	3	1	adj	1921	3	selected_adj	
pink	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		PNK	1	3	1	adj	1960	3	selected_adj	
shot	4	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		XT	1	3	1	adj	1966	3	selected_adj	
rose	4	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		RS	1	3	1	adj	2074	3	selected_adj	
hearing	7	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		HRNK	1	3	1	adj	2096	3	selected_adj	
signed	6	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0		SKNT	1	3	0	adj	2103	3	selected_adj	
sorted	6	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0		SRTT	1	3	0	adj	2128	3	selected_adj	
heavy	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		HF	1	3	-1	adj	2144	3	selected_adj	
solid	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		SLT	1	3	1	adj	2158	3	selected_adj	
sorry	5	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		SR	1	3	0	adj	2262	3	selected_adj	
native	6	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0		NTF	1	3	1	adj	2289	3	selected_adj	
golden	6	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0		KLTN	1	3	0	adj	2337	3	selected_adj	
secret	6	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		SKRT	1	3	-1	adj	2599	3	selected_adj	
reduced	7	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0		RTST	1	3	0	adj	2679	3	selected_adj	
color	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		KLR	1	3	1	adj	2741	3	selected_adj	
fourth	6	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		FR0	1	3	-1	adj	3002	3	selected_adj	
evil	4	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		EFL	1	3	-1	adj	3008	3	selected_adj	
compact	7	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		KMPKT	1	3	1	adj	3047	3	selected_adj	
blonde	6	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		BLNT	1	3	-1	adj	3159	3	selected_adj	
matt	4	1	1	0	1	1	1	0	english_alpha,google_10000,simple_adjectives	1	0		MT	1	3	-1	adj	3216	3	selected_adj	
pure	4	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0		PR	1	3	0	adj	3336	3	selected_adj	
warm	4	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		WRM	1	3	0	adj	3358	3	selected_adj	
gray	4	1	1	0	1	1	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0		KR	1	3	1	adj	3509	3	selected_adj	
liquid	6	1	1	0	1	1	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		LKT	1	3	1	adj	3532	3	selected_adj	
biggest	7	1	0	0	1	0	1	0	english_alpha,google_10000,simple_adjectives	1	0		BJST	1	3	0	adj	3659	3	selected_adj	
